layer,int4_time,int8_time,difference
layers.0.attention.wqkv,20245.406000000014,34.368,-20211.038000000015
layers.0.attention.wo,6.24,133.31199999999998,127.07199999999999
layers.0.feed_forward.w1,1.408,1152.9279999999999,1151.52
layers.0.feed_forward.w2,0.0,231.328,231.328
layers.0.feed_forward.w3,2.08,0.0,-2.08
layers.1.attention.wqkv,547.452,17.28,-530.172
layers.1.attention.wo,6.144,68.384,62.24
layers.1.feed_forward.w1,1.312,526.112,524.8
layers.1.feed_forward.w2,0.0,230.304,230.304
layers.1.feed_forward.w3,1.696,0.0,-1.696
layers.2.attention.wqkv,546.557,17.248,-529.309
layers.2.attention.wo,10.912,68.48,57.568000000000005
layers.2.feed_forward.w1,1.377,528.287,526.9100000000001
layers.2.feed_forward.w2,0.0,231.329,231.329
layers.2.feed_forward.w3,1.729,0.0,-1.729
layers.3.attention.wqkv,545.375,17.346,-528.029
layers.3.attention.wo,6.176,68.44800000000001,62.272000000000006
layers.3.feed_forward.w1,1.44,529.793,528.353
layers.3.feed_forward.w2,0.0,231.552,231.552
layers.3.feed_forward.w3,4.417,0.0,-4.417
layers.4.attention.wqkv,545.02,17.248,-527.7719999999999
layers.4.attention.wo,10.944,68.352,57.408
layers.4.feed_forward.w1,1.312,528.832,527.52
layers.4.feed_forward.w2,0.0,230.24,230.24
layers.4.feed_forward.w3,1.729,0.0,-1.729
layers.5.attention.wqkv,544.573,17.152,-527.4209999999999
layers.5.attention.wo,6.144,68.32,62.175999999999995
layers.5.feed_forward.w1,1.312,529.7289999999999,528.4169999999999
layers.5.feed_forward.w2,0.0,229.632,229.632
layers.5.feed_forward.w3,1.729,0.0,-1.729
layers.6.attention.wqkv,547.7729999999999,17.216,-530.5569999999999
layers.6.attention.wo,10.752,68.384,57.632
layers.6.feed_forward.w1,1.472,529.5039999999999,528.0319999999999
layers.6.feed_forward.w2,0.0,230.688,230.688
layers.6.feed_forward.w3,1.729,0.0,-1.729
layers.7.attention.wqkv,548.1600000000001,17.377,-530.7830000000001
layers.7.attention.wo,6.143,68.414,62.271
layers.7.feed_forward.w1,1.344,526.625,525.281
layers.7.feed_forward.w2,0.0,230.08,230.08
layers.7.feed_forward.w3,4.161,0.0,-4.161
layers.8.attention.wqkv,545.888,17.216,-528.672
layers.8.attention.wo,10.783,68.512,57.729
layers.8.feed_forward.w1,1.312,527.232,525.92
layers.8.feed_forward.w2,0.0,230.176,230.176
layers.8.feed_forward.w3,1.76,0.0,-1.76
layers.9.attention.wqkv,548.542,17.056,-531.486
layers.9.attention.wo,6.111,68.352,62.24100000000001
layers.9.feed_forward.w1,1.344,529.823,528.4789999999999
layers.9.feed_forward.w2,0.0,230.048,230.048
layers.9.feed_forward.w3,4.161,0.0,-4.161
layers.10.attention.wqkv,548.2520000000001,17.152,-531.1
layers.10.attention.wo,10.815,68.35300000000001,57.53800000000001
layers.10.feed_forward.w1,1.472,528.865,527.393
layers.10.feed_forward.w2,0.0,230.688,230.688
layers.10.feed_forward.w3,1.728,0.0,-1.728
layers.11.attention.wqkv,548.988,17.12,-531.868
layers.11.attention.wo,6.175,68.28800000000001,62.113000000000014
layers.11.feed_forward.w1,1.312,528.287,526.975
layers.11.feed_forward.w2,0.0,230.337,230.337
layers.11.feed_forward.w3,4.16,0.0,-4.16
layers.12.attention.wqkv,546.4280000000001,17.119999999999997,-529.3080000000001
layers.12.attention.wo,10.784,68.28800000000001,57.50400000000001
layers.12.feed_forward.w1,1.408,530.1129999999999,528.7049999999999
layers.12.feed_forward.w2,0.0,230.752,230.752
layers.12.feed_forward.w3,1.856,0.0,-1.856
layers.13.attention.wqkv,548.064,17.184,-530.88
layers.13.attention.wo,6.208,68.384,62.176
layers.13.feed_forward.w1,1.312,530.1759999999999,528.8639999999999
layers.13.feed_forward.w2,0.0,229.632,229.632
layers.13.feed_forward.w3,4.224,0.0,-4.224
layers.14.attention.wqkv,546.366,17.184,-529.182
layers.14.attention.wo,10.911,68.416,57.504999999999995
layers.14.feed_forward.w1,1.408,526.432,525.024
layers.14.feed_forward.w2,0.0,230.816,230.816
layers.14.feed_forward.w3,1.728,0.0,-1.728
layers.15.attention.wqkv,548.732,17.056,-531.6759999999999
layers.15.attention.wo,6.207,68.352,62.145
layers.15.feed_forward.w1,1.28,528.64,527.36
layers.15.feed_forward.w2,0.0,231.136,231.136
layers.15.feed_forward.w3,4.256,0.0,-4.256
layers.16.attention.wqkv,545.822,17.408,-528.414
layers.16.attention.wo,10.943000000000001,68.384,57.441
layers.16.feed_forward.w1,1.344,529.759,528.415
layers.16.feed_forward.w2,0.0,229.921,229.921
layers.16.feed_forward.w3,1.792,0.0,-1.792
layers.17.attention.wqkv,548.317,17.121000000000002,-531.196
layers.17.attention.wo,6.24,68.28800000000001,62.04800000000001
layers.17.feed_forward.w1,1.312,529.216,527.904
layers.17.feed_forward.w2,0.0,230.336,230.336
layers.17.feed_forward.w3,4.224,0.0,-4.224
layers.18.attention.wqkv,545.3720000000001,17.216,-528.1560000000001
layers.18.attention.wo,10.72,68.352,57.632000000000005
layers.18.feed_forward.w1,1.408,529.568,528.16
layers.18.feed_forward.w2,0.0,231.009,231.009
layers.18.feed_forward.w3,1.728,0.0,-1.728
layers.19.attention.wqkv,549.0530000000001,17.311,-531.7420000000001
layers.19.attention.wo,6.176,68.38199999999999,62.20599999999999
layers.19.feed_forward.w1,1.28,528.608,527.328
layers.19.feed_forward.w2,0.0,230.304,230.304
layers.19.feed_forward.w3,4.289,0.0,-4.289
layers.20.attention.wqkv,547.517,17.248,-530.269
layers.20.attention.wo,10.72,68.41600000000001,57.69600000000001
layers.20.feed_forward.w1,1.44,529.856,528.4159999999999
layers.20.feed_forward.w2,0.0,231.424,231.424
layers.20.feed_forward.w3,1.792,0.0,-1.792
layers.21.attention.wqkv,545.565,17.12,-528.445
layers.21.attention.wo,6.144,68.352,62.208000000000006
layers.21.feed_forward.w1,1.28,528.063,526.783
layers.21.feed_forward.w2,0.0,230.273,230.273
layers.21.feed_forward.w3,4.225,0.0,-4.225
layers.22.attention.wqkv,548.9259999999999,17.184,-531.742
layers.22.attention.wo,10.849,68.512,57.663
layers.22.feed_forward.w1,1.312,530.144,528.832
layers.22.feed_forward.w2,0.0,230.304,230.304
layers.22.feed_forward.w3,1.728,0.0,-1.728
layers.23.attention.wqkv,547.997,17.152,-530.8449999999999
layers.23.attention.wo,6.144,68.51200000000001,62.368000000000016
layers.23.feed_forward.w1,1.344,529.0889999999999,527.7449999999999
layers.23.feed_forward.w2,0.0,232.671,232.671
layers.23.feed_forward.w3,4.191,0.0,-4.191
layers.24.attention.wqkv,548.03,18.018,-530.012
layers.24.attention.wo,10.848,68.98899999999999,58.14099999999999
layers.24.feed_forward.w1,1.472,529.728,528.256
layers.24.feed_forward.w2,0.0,232.096,232.096
layers.24.feed_forward.w3,1.76,0.0,-1.76
layers.25.attention.wqkv,545.789,18.176000000000002,-527.6129999999999
layers.25.attention.wo,6.208,68.70400000000001,62.49600000000001
layers.25.feed_forward.w1,1.344,529.952,528.608
layers.25.feed_forward.w2,0.0,231.487,231.487
layers.25.feed_forward.w3,4.223,0.0,-4.223
layers.26.attention.wqkv,547.4860000000001,18.145,-529.3410000000001
layers.26.attention.wo,10.784,68.73700000000001,57.95300000000001
layers.26.feed_forward.w1,1.344,527.68,526.3359999999999
layers.26.feed_forward.w2,0.0,231.36,231.36
layers.26.feed_forward.w3,1.728,0.0,-1.728
layers.27.attention.wqkv,549.501,18.208,-531.293
layers.27.attention.wo,6.272,68.896,62.624
layers.27.feed_forward.w1,1.376,530.816,529.44
layers.27.feed_forward.w2,0.0,232.608,232.608
layers.27.feed_forward.w3,4.224,0.0,-4.224
layers.28.attention.wqkv,548.733,18.241999999999997,-530.491
layers.28.attention.wo,10.879000000000001,68.79899999999999,57.91999999999999
layers.28.feed_forward.w1,1.44,529.761,528.3209999999999
layers.28.feed_forward.w2,0.0,232.287,232.287
layers.28.feed_forward.w3,1.728,0.0,-1.728
layers.29.attention.wqkv,547.8679999999999,18.144,-529.7239999999999
layers.29.attention.wo,6.208,68.8,62.592
layers.29.feed_forward.w1,1.312,529.9200000000001,528.6080000000001
layers.29.feed_forward.w2,0.0,232.192,232.192
layers.29.feed_forward.w3,4.223,0.0,-4.223
layers.30.attention.wqkv,547.1020000000001,1969.505,1422.403
layers.30.attention.wo,10.881,434.88100000000003,424.0
layers.30.feed_forward.w1,1.408,1586.754,1585.346
layers.30.feed_forward.w2,0.0,231.361,231.361
layers.30.feed_forward.w3,1.728,0.0,-1.728
layers.31.attention.wqkv,547.932,17.919,-530.013
layers.31.attention.wo,6.208,68.48,62.272000000000006
layers.31.feed_forward.w1,1.312,526.24,524.928
layers.31.feed_forward.w2,0.0,231.68,231.68
layers.31.feed_forward.w3,4.224,0.0,-4.224
